,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful Raid Percentage,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super Raids,Super 10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super Tackles,High 5s
0,Maninder Singh,Raider,"Jan 1, 1990",Bengal Warriors,6 ft,India,76 kg,17.0,156.0,18.0,80.38,260.0,132.0,51.0,77.0,60.0,130.0,26.0,156.0,5.0,7.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
1,K. Prapanjan,Raider,"May 29, 1993",Bengal Warriors,6 ft 1 in,India,83.6 kg,17.0,96.0,12.0,79.16,192.0,69.0,40.0,83.0,48.95,70.0,24.0,94.0,3.0,3.0,13.0,2.0,11.0,0.11,0.0,15.38,0.0,0.0
2,Mohammad Taghi,Raider,"Oct 21, 1991",Bengal Warriors,-,Iran,-,3.0,1.0,1.0,25.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.33,0.0,25.0,0.0,0.0
3,Rakesh Narwal,Raider,"May 6, 1995",Bengal Warriors,6 ft 1 in,India,82 kg,1.0,3.0,3.0,50.0,2.0,1.0,1.0,0.0,150.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Ravindra Ramesh,Raider,"Apr 16, 1996",Bengal Warriors,-,India,-,1.0,0.0,0.0,66.66,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Sukesh Hegde,Raider,"Oct 2, 1989",Bengal Warriors,5 ft 11 in,India,81.3 kg,10.0,29.0,8.0,85.48,62.0,19.0,9.0,34.0,45.16,20.0,8.0,28.0,2.0,0.0,2.0,1.0,1.0,0.1,0.0,50.0,0.0,0.0
6,Naveen Narwal,"Defender, right cover","Jan 1, 1970",Bengal Warriors,-,India,-,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.33,0.0,12.5,0.0,0.0
7,Amit,"Defender, right corner","Dec 12, 1998",Bengal Warriors,5 ft 5 in,India,74 kg,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Baldev Singh,"Defender, right corner","May 27, 1993",Bengal Warriors,5 ft 10 in,India,74 kg,17.0,50.0,7.0,80.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,45.0,42.0,2.64,0.0,57.47,5.0,6.0
9,Jeeva Kumar,"Defender, right and left cover","Jun 1, 1981",Bengal Warriors,5 ft 5 in,India,72 kg,16.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,27.0,45.0,1.68,0.0,38.88,1.0,0.0
10,Viraj Vishnu,"Defender, left cover","Oct 15, 1993",Bengal Warriors,5 ft 7 in,India,-,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,20.0,0.85,0.0,23.07,0.0,0.0
11,Adarsh T,"Defender, left corner","Jan 1, 1970",Bengal Warriors,-,India,-,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.33,0.0,33.33,0.0,0.0
12,Dharmendra Singh,"Defender, left corner","Feb 3, 1994",Bengal Warriors,5 ft 7 in,India,75 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Rinku Narwal,Defender,"Jan 1, 1970",Bengal Warriors,-,India,-,17.0,45.0,5.0,100.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,43.0,51.0,2.52,0.0,47.87,2.0,3.0
14,Amir Santosh,All Rounder,"Dec 16, 1991",Bengal Warriors,5 ft 7 in,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Avinash A.,All Rounder,"May 18, 1991",Bengal Warriors,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Mohammad Esmaeil,All Rounder,"Sep 17, 1991",Bengal Warriors,-,Iran,-,17.0,91.0,10.0,81.32,166.0,52.0,31.0,83.0,40.36,60.0,7.0,67.0,3.0,1.0,47.0,22.0,25.0,1.29,0.0,51.06,2.0,1.0
17,Mayur Shivtarkar,All Rounder,"Sep 13, 1996",Bengal Warriors,5 ft 8 in,India,79 kg,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,17.0,0.66,0.0,19.04,0.0,0.0
18,Sourabh Tanaji,All Rounder,"Jul 9, 1997",Bengal Warriors,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Sunil Manik,All Rounder,"Apr 27, 1996",Bengal Warriors,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Rohit Kumar,Raider,"Jan 19, 1990",Bengaluru Bulls,6 ft,India,79 kg,16.0,78.0,13.0,71.36,213.0,59.0,61.0,93.0,34.74,58.0,16.0,74.0,1.0,2.0,16.0,4.0,12.0,0.25,0.0,25.0,0.0,0.0
21,Banty,Raider,"Nov 10, 2000",Bengaluru Bulls,5 ft 9 in,India,69.3 kg,9.0,11.0,4.0,64.28,28.0,7.0,10.0,11.0,32.14,8.0,1.0,9.0,0.0,0.0,4.0,2.0,2.0,0.22,0.0,50.0,0.0,0.0
22,Lal Mohar,Raider,"Feb 1, 1991",Bengaluru Bulls,-,Nepal,79 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Pawan Kumar,Raider,"Jul 9, 1996",Bengaluru Bulls,5 ft 10 in,India,-,16.0,216.0,29.0,74.4,293.0,159.0,75.0,59.0,70.3,161.0,45.0,206.0,5.0,10.0,22.0,9.0,13.0,0.56,0.0,45.45,1.0,0.0
24,Sumit Singh,Raider,"Jun 15, 1996",Bengaluru Bulls,-,India,-,12.0,30.0,7.0,68.25,63.0,20.0,20.0,23.0,42.85,10.0,17.0,27.0,0.0,0.0,8.0,2.0,6.0,0.16,0.0,37.5,1.0,0.0
25,Vinod Kumar,Raider,"Jan 2, 1989",Bengaluru Bulls,5 ft 7 in,India,80 kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
26,Mohit Sehrawat,"Defender, right cover","Aug 21, 1998",Bengaluru Bulls,5 ft 11 in,India,76.5 kg,10.0,16.0,5.0,78.57,42.0,4.0,9.0,29.0,11.9,4.0,1.0,5.0,0.0,0.0,26.0,9.0,17.0,0.9,0.0,42.3,2.0,1.0
27,Raju Lal,"Defender, right corner","Feb 12, 1988",Bengaluru Bulls,6 ft 1 in,India,80.5 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Vijay Kumar,"Defender, right corner","Mar 1, 1994",Bengaluru Bulls,6 ft 2 in,India,-,9.0,5.0,3.0,100.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,12.0,0.44,0.0,31.25,1.0,0.0
29,Mahender Singh,"Defender, left cover","Jan 10, 1996",Bengaluru Bulls,5 ft 7 in,India,78 kg,14.0,44.0,7.0,100.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,37.0,44.0,2.64,0.0,54.32,7.0,3.0
30,Aman,"Defender, left corner","Feb 12, 2000",Bengaluru Bulls,5 ft 9 in,India,65.5 kg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,33.33,0.0,0.0
31,Sandeep,"Defender, left corner","Dec 12, 1998",Bengaluru Bulls,5 ft 9 in,India,73.1 kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,Saurabh Nandal,"Defender, left corner","Jan 1, 1970",Bengaluru Bulls,-,India,-,15.0,40.0,8.0,100.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,69.0,34.0,35.0,2.26,0.0,56.52,5.0,4.0
33,Ajay,Defender,"Jan 1, 1970",Bengaluru Bulls,5 ft 9 in,India,73 kg,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,13.0,0.28,0.0,13.33,0.0,0.0
